# name              ra_Deg       dec_Deg      OBS_ID         redshift   nh_gal   SUBMODE           FILTER   radius_arcmin   counts   exposure      count_rate     
  1H0707-495        107.172907   -49.551915   0110890201     0.04057    0.0431   PrimePartialW3    Medium   1.14739         479.0    42702.62109   0.01121711004  
  1H0707-495        107.172907   -49.551915   0148010301     0.04057    0.0431   PrimeFullWindow   Medium   1.33333         1049.0   76139.64844   0.01377731604  
  1H0707-495        107.172907   -49.551915   0506200201     0.04057    0.0431   PrimePartialW2    Medium   1.25427         1219.0   38660.71875   0.03153071229  
  1H0707-495        107.172907   -49.551915   0506200301     0.04057    0.0431   PrimePartialW2    Medium   1.33333         800.0    40014.26953   0.01999286778  
  1H0707-495        107.172907   -49.551915   0506200401     0.04057    0.0431   PrimePartialW2    Medium   1.26282         1476.0   37085.55078   0.0397998673   
  1H0707-495        107.172907   -49.551915   0511580101     0.04057    0.0431   PrimePartialW2    Medium   1.33333         2634.0   115203.8984   0.02286380961  
  1H0707-495        107.172907   -49.551915   0511580201     0.04057    0.0431   PrimePartialW2    Medium   1.33333         2606.0   94860.10156   0.02747203468  
  1H0707-495        107.172907   -49.551915   0511580301     0.04057    0.0431   PrimePartialW2    Medium   1.33333         2169.0   83015.85938   0.02612753775  
  1H0707-495        107.172907   -49.551915   0511580401     0.04057    0.0431   PrimePartialW2    Medium   1.33333         1837.0   80781.95312   0.0227402276   
  1H0707-495        107.172907   -49.551915   0554710801     0.04057    0.0431   PrimePartialW2    Medium   1.10368         1784.0   80745.27344   0.0220941725   
  1H0707-495        107.172907   -49.551915   0653510301     0.04057    0.0431   PrimePartialW2    Medium   1.33333         2310.0   112249.1016   0.0205792293   
  1H0707-495        107.172907   -49.551915   0653510401     0.04057    0.0431   PrimePartialW2    Medium   1.14759         2758.0   121901.3984   0.02262484299  
  1H0707-495        107.172907   -49.551915   0653510501     0.04057    0.0431   PrimePartialW2    Medium   1.20762         2199.0   114299.5      0.0192389293   
  1H0707-495        107.172907   -49.551915   0653510601     0.04057    0.0431   PrimePartialW2    Medium   1.33333         2552.0   115797.8984   0.0220383965   
  Ark564            340.663939   29.725364    0006810101     0.02468    0.0534   PrimePartialW2    Medium   1.09267         142.0    6934.099121   0.02047850738  
  Ark564            340.663939   29.725364    0006810301     0.02468    0.0534   PrimePartialW2    Medium   1.0943          240.0    7379.103027   0.03252427824  
  Ark564            340.663939   29.725364    0206400101     0.02468    0.0534   PrimePartialW2    Medium   0.913363        1581.0   94644.77344   0.01670456743  
  Ark564            340.663939   29.725364    0670130201     0.02468    0.0534   PrimePartialW2    Thin1    1.06503         1548.0   56580.05078   0.02735946643  
  Ark564            340.663939   29.725364    0670130301     0.02468    0.0534   PrimePartialW2    Thin1    1.03735         1944.0   51710.19922   0.03759413093  
  Ark564            340.663939   29.725364    0670130401     0.02468    0.0534   PrimePartialW2    Thin1    0.978459        1632.0   43942.53125   0.03713941718  
  Ark564            340.663939   29.725364    0670130501     0.02468    0.0534   PrimePartialW2    Thin1    1.05876         2151.0   61883.85938   0.03475865956  
  Ark564            340.663939   29.725364    0670130601     0.02468    0.0534   PrimePartialW2    Thin1    1.01234         2089.0   45837.41016   0.04557412805  
  Ark564            340.663939   29.725364    0670130701     0.02468    0.0534   PrimePartialW2    Thin1    1.09624         936.0    41323.57031   0.02265051139  
  Ark564            340.663939   29.725364    0670130801     0.02468    0.0534   PrimePartialW2    Thin1    1.0163          1020.0   57222.96094   0.0178250126   
  Ark564            340.663939   29.725364    0670130901     0.02468    0.0534   PrimePartialW2    Thin1    1.0             1252.0   54133.78125   0.02312788745  
  ESO113-G010       16.319708    -58.437278   0301890101     0.0257     0.0208   PrimePartialW3    Medium   1.33333         1687.0   96932.96094   0.01740378075  
  ESO362-G18        79.89916     -32.657585   0610180101     0.01244    0.0175   PrimePartialW3    Thin1    1.06482         1732.0   73912.96094   0.02343296734  
  ESO362-G18        79.89916     -32.657585   0790810101     0.01244    0.0175   PrimePartialW2    Thick    1.10972         1782.0   117752.2969   0.01513346276  
  ESO511-G030       214.843417   -26.644722   0502090201     0.02239    0.0469   PrimePartialW2    Medium   1.03528         2948.0   106777.0      0.027608942    
  IC4329A           207.330276   -30.309436   0101040401     0.01605    0.0461   PrimePartialW3    Medium   1.33333         447.0    12736.92969   0.0350948      
  IC4329A           207.330276   -30.309436   0147440101     0.01605    0.0461   PrimePartialW3    Medium   0.906569        2664.0   98716.29688   0.02698642559  
  IC4329A           207.330276   -30.309436   0800760801     0.01605    0.0461   PrimeFullWindow   Medium   0.949926        610.0    12945.07031   0.04712218515  
  IRAS05078+1626    77.689622    16.498847    0502090501     0.01788    0.188    PrimePartialW2    Thin1    1.01086         1412.0   56294.80078   0.02508224526  
  IRAS13224-3809    201.330743   -38.414632   0110890101     0.0658     0.0534   PrimePartialW3    Medium   1.33333         1096.0   61024.17969   0.01796009394  
  IRAS13224-3809    201.330743   -38.414632   0673580101     0.0658     0.0534   PrimePartialW3    Thin1    1.33333         2773.0   90396.40625   0.03067599825  
  IRAS13224-3809    201.330743   -38.414632   0673580201     0.0658     0.0534   PrimePartialW3    Thin1    1.33333         2152.0   89921.60938   0.02393195601  
  IRAS13224-3809    201.330743   -38.414632   0673580301     0.0658     0.0534   PrimePartialW3    Thin1    1.31505         3040.0   91376.13281   0.03326908139  
  IRAS13224-3809    201.330743   -38.414632   0673580401     0.0658     0.0534   PrimePartialW3    Thin1    1.23905         2927.0   117877.2969   0.02483090534  
  IRAS13224-3809    201.330743   -38.414632   0780560101     0.0658     0.0534   PrimePartialW3    Thin1    1.33333         1410.0   29630.61914   0.04758591082  
  IRAS13224-3809    201.330743   -38.414632   0780560101_1   0.0658     0.0534   PrimePartialW3    Thin1    1.33333         1410.0   29630.61914   0.04758591082  
  IRAS13224-3809    201.330743   -38.414632   0780561301     0.0658     0.0534   PrimePartialW3    Thin1    1.33333         2674.0   132827.2969   0.02013140418  
  IRAS13224-3809    201.330743   -38.414632   0780561401     0.0658     0.0534   PrimePartialW3    Thin1    1.33333         1681.0   85430.90625   0.01967671975  
  IRAS13224-3809    201.330743   -38.414632   0780561401_1   0.0658     0.0534   PrimePartialW3    Thin1    1.33333         1681.0   85430.90625   0.01967671975  
  IRAS13224-3809    201.330743   -38.414632   0780561501     0.0658     0.0534   PrimePartialW3    Thin1    1.33333         3285.0   135110.2031   0.02431348576  
  IRAS13224-3809    201.330743   -38.414632   0780561601     0.0658     0.0534   PrimePartialW3    Thin1    1.33333         3164.0   137645.7031   0.02298655118  
  IRAS13224-3809    201.330743   -38.414632   0780561701     0.0658     0.0534   PrimePartialW3    Thin1    1.33333         3281.0   133410.0      0.02459335882  
  IRAS13224-3809    201.330743   -38.414632   0792180101     0.0658     0.0534   PrimePartialW3    Thin1    1.29135         3346.0   135446.0      0.0247035719   
  IRAS13224-3809    201.330743   -38.414632   0792180201     0.0658     0.0534   PrimePartialW3    Thin1    1.1125          2875.0   132889.4062   0.02163453116  
  IRAS13224-3809    201.330743   -38.414632   0792180301     0.0658     0.0534   PrimePartialW3    Thin1    1.25953         3430.0   126719.3984   0.027067679    
  IRAS13224-3809    201.330743   -38.414632   0792180401     0.0658     0.0534   PrimePartialW3    Thin1    1.33333         12.0     447.8548889   0.02679439322  
  IRAS13224-3809    201.330743   -38.414632   0792180501     0.0658     0.0534   PrimePartialW3    Thin1    1.15488         2953.0   127911.2031   0.02308632808  
  IRAS13224-3809    201.330743   -38.414632   0792180601     0.0658     0.0534   PrimePartialW3    Thin1    1.33333         2598.0   128047.7031   0.02028931357  
  IRAS13349+2438    204.328028   24.384272    0096010101     0.10764    0.0102   PrimeFullWindow   Medium   0.916053        547.0    41335.76172   0.01323309351  
  IRAS13349+2438    204.328028   24.384272    0402080201     0.10764    0.0102   PrimePartialW2    Thin1    1.05326         736.0    33733.28125   0.0218182155   
  IRAS13349+2438    204.328028   24.384272    0402080301     0.10764    0.0102   PrimePartialW2    Thin1    1.00018         1522.0   59603.57031   0.02553538307  
  IRAS13349+2438    204.328028   24.384272    0402080801     0.10764    0.0102   PrimePartialW2    Thin1    1.02805         232.0    10878.99023   0.02132550862  
  IRAS17020+4544    255.876596   45.679769    0206860101     0.0604     0.0201   PrimePartialW2    Medium   1.00406         263.0    18978.63086   0.01385769089  
  IRAS17020+4544    255.876596   45.679769    0206860201     0.0604     0.0201   PrimePartialW2    Medium   0.971811        449.0    13710.08008   0.03274962637  
  IRAS17020+4544    255.876596   45.679769    0721220101     0.0604     0.0201   PrimePartialW2    Medium   0.992005        2819.0   75879.46875   0.03715102447  
  IRAS17020+4544    255.876596   45.679769    0721220301     0.0604     0.0201   PrimePartialW2    Medium   1.08026         1627.0   81209.10156   0.02003470016  
  IRAS18325-5926    279.242875   -59.402389   0724820101     0.02002    0.0647   PrimePartialW2    Thin1    0.989825        2329.0   106198.2031   0.02193069121  
  IRAS18325-5926    279.242875   -59.402389   0724820201     0.02002    0.0647   PrimePartialW2    Thin1    1.07911         2437.0   97477.59375   0.02500061713  
  IRAS18325-5926    279.242875   -59.402389   0795690101     0.02002    0.0647   PrimePartialW2    Thin1    1.03706         1183.0   51021.30859   0.0231863908   
  IZW1              13.395585    12.69339     0110890301     0.0589     0.0476   PrimePartialW2    Medium   1.33333         316.0    21303.34961   0.01483334808  
  IZW1              13.395585    12.69339     0300470101     0.0589     0.0476   PrimePartialW2    Medium   1.06844         1460.0   79027.88281   0.01847449214  
  IZW1              13.395585    12.69339     0743050301     0.0589     0.0476   PrimePartialW2    Thin1    1.09707         2423.0   137768.4062   0.01758748661  
  IZW1              13.395585    12.69339     0743050301_1   0.0589     0.0476   PrimePartialW2    Thin1    0.977301        2423.0   137768.4062   0.01758748661  
  IZW1              13.395585    12.69339     0743050301_2   0.0589     0.0476   PrimePartialW2    Thin1    1.0             2423.0   137768.4062   0.01758748661  
  IZW1              13.395585    12.69339     0743050301_3   0.0589     0.0476   PrimePartialW2    Thin1    1.0             2423.0   137768.4062   0.01758748661  
  IZW1              13.395585    12.69339     0743050301_4   0.0589     0.0476   PrimePartialW2    Thin1    1.08816         2423.0   137768.4062   0.01758748661  
  IZW1              13.395585    12.69339     0743050801     0.0589     0.0476   PrimePartialW2    Thin1    1.11111         813.0    35022.39844   0.02321371569  
  MCG-02-14-009     79.088244    -10.561505   0550640101     0.02845    0.0924   PrimePartialW2    Medium   1.14541         2488.0   87411.84375   0.02846296215  
  MCG-5-23-16       146.917319   -30.948734   0112830301     0.00849    0.087    PrimeFullWindow   Medium   1.33333         221.0    10658.4502    0.02073472184  
  MCG-5-23-16       146.917319   -30.948734   0112830401     0.00849    0.087    PrimeFullWindow   Medium   1.33333         350.0    24035.09961   0.01456203659  
  MCG-5-23-16       146.917319   -30.948734   0302850201     0.00849    0.087    PrimePartialW2    Medium   1.33333         2141.0   111493.7031   0.01920287819  
  MCG-5-23-16       146.917319   -30.948734   0727960101     0.00849    0.087    PrimePartialW2    Thin1    1.11111         2489.0   117408.2969   0.02119952394  
  MCG-5-23-16       146.917319   -30.948734   0727960201     0.00849    0.087    PrimePartialW2    Thin1    1.11111         2480.0   128580.3984   0.01928754328  
  MCG-6-30-15       203.973778   -34.295538   0029740101     0.00775    0.0392   PrimePartialW2    Medium   0.989166        1498.0   64750.55078   0.02313493834  
  MCG-6-30-15       203.973778   -34.295538   0029740701     0.00775    0.0392   PrimePartialW2    Medium   1.00862         2965.0   105235.7031   0.02817484857  
