  name              ra_Deg       dec_Deg      OBS_ID         redshift   nh_gal   SUBMODE                   FILTER   radius_arcmin   counts    exposure      count_rate     
  1H0707-495        107.172907   -49.551915   0110890201     0.04057    0.0431   PrimeFullWindow           Medium   1.14739         1728.0    35926.57812   0.0480980959   
  1H0707-495        107.172907   -49.551915   0148010301     0.04057    0.0431   PrimeFullWindow           Medium   1.33333         4659.0    67988.72656   0.06852606653  
  1H0707-495        107.172907   -49.551915   0506200201     0.04057    0.0431   PrimeLargeWindow          Medium   1.25427         3211.0    26842.75      0.1196226169   
  1H0707-495        107.172907   -49.551915   0506200301     0.04057    0.0431   PrimeLargeWindow          Medium   1.33333         3027.0    35789.26953   0.08457842363  
  1H0707-495        107.172907   -49.551915   0506200401     0.04057    0.0431   PrimeLargeWindow          Medium   1.26282         1917.0    14734.25      0.1301050274   
  1H0707-495        107.172907   -49.551915   0511580101     0.04057    0.0431   PrimeLargeWindow          Medium   1.33333         10921.0   99539.60938   0.1097151181   
  1H0707-495        107.172907   -49.551915   0511580201     0.04057    0.0431   PrimeLargeWindow          Medium   1.33333         7855.0    66409.50781   0.1182812561   
  1H0707-495        107.172907   -49.551915   0511580301     0.04057    0.0431   PrimeLargeWindow          Medium   1.33333         6635.0    59765.73047   0.1110167976   
  1H0707-495        107.172907   -49.551915   0511580401     0.04057    0.0431   PrimeLargeWindow          Medium   1.33333         6821.0    66530.03125   0.1025251285   
  1H0707-495        107.172907   -49.551915   0554710801     0.04057    0.0431   PrimeLargeWindow          Medium   1.10368         4138.0    64485.69141   0.06416927399  
  1H0707-495        107.172907   -49.551915   0653510301     0.04057    0.0431   PrimeLargeWindow          Medium   1.33333         9698.0    103511.7969   0.09368980438  
  1H0707-495        107.172907   -49.551915   0653510401     0.04057    0.0431   PrimeLargeWindow          Medium   1.14759         8302.0    101983.2031   0.08140556234  
  1H0707-495        107.172907   -49.551915   0653510501     0.04057    0.0431   PrimeLargeWindow          Medium   1.20762         7411.0    95744.92188   0.07740358293  
  1H0707-495        107.172907   -49.551915   0653510601     0.04057    0.0431   PrimeLargeWindow          Medium   1.33333         9559.0    97635.22656   0.09790523704  
  Ark564            340.663939   29.725364    0006810101     0.02468    0.0534   PrimeSmallWindow          Medium   1.09267         5227.0    7446.478027   0.7019425802   
  Ark564            340.663939   29.725364    0006810301     0.02468    0.0534   PrimeSmallWindow          Medium   1.0943          5703.0    7039.005859   0.8101996381   
  Ark564            340.663939   29.725364    0206400101     0.02468    0.0534   PrimeSmallWindow          Medium   0.913363        17968.0   69150.8125    0.2598378725   
  Ark564            340.663939   29.725364    0670130201     0.02468    0.0534   PrimeSmallWindow          Thin1    1.06503         26438.0   41392.48047   0.6387150444   
  Ark564            340.663939   29.725364    0670130301     0.02468    0.0534   PrimeSmallWindow          Thin1    1.03735         22091.0   38807.41016   0.5692469534   
  Ark564            340.663939   29.725364    0670130401     0.02468    0.0534   PrimeSmallWindow          Thin1    0.978459        22645.0   38471.37109   0.5886195203   
  Ark564            340.663939   29.725364    0670130501     0.02468    0.0534   PrimeSmallWindow          Thin1    1.05876         30502.0   46845.76953   0.651115358    
  Ark564            340.663939   29.725364    0670130601     0.02468    0.0534   PrimeSmallWindow          Thin1    1.01234         32836.0   41668.69922   0.7880255591   
  Ark564            340.663939   29.725364    0670130701     0.02468    0.0534   PrimeSmallWindow          Thin1    1.09624         17215.0   32341.93945   0.5322810039   
  Ark564            340.663939   29.725364    0670130801     0.02468    0.0534   PrimeSmallWindow          Thin1    1.0163          15293.0   40496.87891   0.3776340403   
  Ark564            340.663939   29.725364    0670130901     0.02468    0.0534   PrimeSmallWindow          Thin1    1.0             15864.0   38678.96875   0.4101453713   
  ESO113-G010       16.319708    -58.437278   0301890101     0.0257     0.0208   PrimeFullWindow           Medium   1.33333         7051.0    77389.60938   0.09111042241  
  ESO362-G18        79.89916     -32.657585   0610180101     0.01244    0.0175   PrimeSmallWindow          Thin1    1.06482         14653.0   52505.69141   0.2790745081   
  ESO362-G18        79.89916     -32.657585   0790810101     0.01244    0.0175   PrimeSmallWindow          Thin1    1.10972         20266.0   83479.67188   0.2427656883   
  ESO511-G030       214.843417   -26.644722   0502090201     0.02239    0.0469   PrimeSmallWindow          Thin1    1.03528         25107.0   76147.0625    0.3297172494   
  IC4329A           207.330276   -30.309436   0101040401     0.01605    0.0461   PrimeFullWindow           Medium   1.33333         59.0      220.652298    0.2673890122   
  IC4329A           207.330276   -30.309436   0147440101     0.01605    0.0461   PrimeSmallWindow          Thin1    0.906569        34763.0   82913.35156   0.4192690242   
  IC4329A           207.330276   -30.309436   0800760801     0.01605    0.0461   PrimeFullWindow           Medium   0.949926        678.0     4764.832031   0.142292529    
  IRAS05078+1626    77.689622    16.498847    0502090501     0.01788    0.188    PrimeSmallWindow          Thin1    1.01086         11657.0   40091.30078   0.2907613316   
  IRAS13224-3809    201.330743   -38.414632   0110890101     0.0658     0.0534   PrimeFullWindow           Medium   1.33333         5027.0    49653.10938   0.1012424008   
  IRAS13224-3809    201.330743   -38.414632   0673580101     0.0658     0.0534   PrimeFullWindow           Thin1    1.33333         7525.0    50124.44922   0.1501263379   
  IRAS13224-3809    201.330743   -38.414632   0673580201     0.0658     0.0534   PrimeLargeWindow          Thin1    1.33333         11032.0   72382.22656   0.1524131064   
  IRAS13224-3809    201.330743   -38.414632   0673580301     0.0658     0.0534   PrimeLargeWindow          Thin1    1.31505         10256.0   72627.17188   0.1412143656   
  IRAS13224-3809    201.330743   -38.414632   0673580401     0.0658     0.0534   PrimeLargeWindow          Thin1    1.23905         12850.0   101794.5      0.126234718    
  IRAS13224-3809    201.330743   -38.414632   0780560101     0.0658     0.0534   PrimeLargeWindow          Thin1    1.33333         2540.0    17665.85938   0.143780155    
