obs_id,    instrument,  count_rate,       exposure
0149780101, PN,		   0.030540541,       48000.000
0149780101, MOS1,      0.013903421,       49600.000
0149780101, MOS2,      0.015150905,       49600.000
0203560201, PN,        0.028401998,       80000.000
0203560201, MOS1,      0.012105263,       81600.000
0203560201, MOS2,      0.012827417,       81600.000
0300240501, PN,        0.055407407,       26900.000
0300240501, MOS1,      0.019547038,       28600.000
0300240501, MOS2,      0.016306620,       28600.000
0300930301, PN,        0.042021277,       18700.000
0300930301, MOS1,      0.013288288,       22100.000
0300930301, MOS2,      0.013918919,       22100.000
0502020101, PN,        0.022207002,       65600.000
0502020101, MOS1,      0.028491379,       69500.000
0502020101, MOS2,      0.026623563,       69500.000
0604740101, PN,        0.050437220,       89100.000
0604740101, MOS1,      0.026262084,       93000.000
0604740101, MOS2,      0.024779807,       93000.000
0675010401, PN,        0.012386831,       72800.000
0675010401, MOS1,      0.017343750,       76700.000
0675010401, MOS2,      0.015507812,       76700.000
0743650701, PN,        0.048181818,       26300.000
0743650701, MOS1,      0.013035714,       27900.000
0743650701, MOS2,      0.013357143,       27900.000
0760380201, PN,        0.043681592,       20000.000
0760380201, MOS1,      0.014055300,       21600.000
0760380201, MOS2,      0.011843318,       21600.000
0765041301, PN,        0.061988950,       18000.000
0765041301, MOS1,      0.019796954,       19600.000
0765041301, MOS2,      0.017817259,       19600.000
0770380401, PN,        0.036995708,       23200.000
0770380401, MOS1,      0.016706827,       24800.000
0770380401, MOS2,      0.013293173,       24800.000
0781890401, PN,        0.041744186,       8500.0000
0781890401, MOS1,      0.020000000,       10100.000
0781890401, MOS2,      0.016568627,       10100.000
