,time,timedel,bkg_counts,counts,rate
0,802.0,802.0,43,43,0.05361596009975062
1,1602.0,800.0,46,64,0.08
2,2402.0,800.0,49,70,0.0875
3,3202.0,800.0,40,73,0.09125
4,4002.0,800.0,51,86,0.1075
5,4802.0,800.0,52,61,0.07625
6,5602.0,800.0,45,72,0.09
7,6402.0,800.0,42,50,0.0625
8,7202.0,800.0,57,68,0.085
9,8002.0,800.0,39,53,0.06625
10,8802.0,800.0,48,52,0.065
11,9602.0,800.0,68,75,0.09375
12,10402.0,800.0,50,64,0.08
13,11202.0,800.0,46,56,0.07
14,12002.0,800.0,59,66,0.0825
15,12802.0,800.0,43,49,0.06125
16,13602.0,800.0,55,62,0.0775
17,14402.0,800.0,56,62,0.0775
18,15202.0,800.0,51,51,0.06375
19,16002.0,800.0,52,55,0.06875
20,16802.0,800.0,52,55,0.06875
21,17602.0,800.0,47,47,0.05875
22,18402.0,800.0,43,50,0.0625
23,19202.0,800.0,44,48,0.06
24,20002.0,800.0,50,57,0.07125
25,20802.0,800.0,59,69,0.08625
26,21602.0,800.0,54,58,0.0725
27,22402.0,800.0,60,61,0.07625
28,23202.0,800.0,48,52,0.065
29,24002.0,800.0,41,46,0.0575
30,24802.0,800.0,42,48,0.06
31,25602.0,800.0,47,48,0.06
32,26402.0,800.0,51,54,0.0675
