id,ctr_net,fraction,ctr_bkg
149780101,0.0715,87.0,0.01068390804597701
203560201,0.002738,71.0,0.0011183380281690142
300240501,0.1411,93.5,0.00980909090909091
300930301,0.004382,75.2,0.0014451276595744678
502020101,0.8313,97.3,0.02306793422404936
604740101,0.006406,68.9,0.0028915326560232215
675010401,0.030260000000000002,66.0,0.015588484848484848
743650701,0.005385,72.9,0.002001831275720164
760380201,0.004661,73.2,0.0017064863387978141
765041301,0.006236,69.9,0.0026853161659513586
770380401,0.059160000000000004,90.5,0.006210165745856354
781890401,0.2285,94.0,0.014585106382978724
