Time Flux
4.0 0.0
38.0 1.6828941126929842e-12
98.0 2.4192492085149675e-12
158.0 6.2384911418602446e-12
218.0 1.4800431550904963e-11
278.0 2.2039293729857884e-11
338.0 2.7195006934311455e-11
398.0 2.9001578211434315e-11
458.0 2.015956569430613e-11
518.0 1.9624440852732128e-11
578.0 1.1843679574401189e-11
638.0 1.243969724863507e-11
698.0 9.592363578794783e-12
758.0 5.905819019588754e-12
818.0 2.8761583501131505e-12
878.0 1.788091755824256e-12
938.0 4.993037233669284e-13
998.0 8.386414663847513e-13
1058.0 2.1333409485572302e-12
1118.0 1.0002179206408668e-12
1178.0 5.102457627421952e-13
1238.0 1.910139852279863e-12
1298.0 8.944092753752908e-13
1358.0 1.2431907716811685e-12
1448.0 1.2431907716811685e-12
