obs_id,obj_name,redshift,bin_size,nh_gal,nh_host,pl_index,bb_T
0149780101,XT 030206,1.17,60,6.4,0.00001,3.4,0.42
0203560201,XT 040610,0.5,800,4.2,0.9,2.1,0.68
0300240501,XT 060207,0.3,12,10.8,0.01,1.9,0.93
0300930301,XT 050925,0.3,160,4.3,1.9,2.1,0.45
0502020101,XT 070618,0.37,8,1.6,0.001,3.2,0.46
0604740101,XT 100424,0.13,400,5.1,0.01,3.9,0.13
0675010401,XT 110621,0.095,48,3.0,0.00001,4.1,0.42
0743650701,XT 140811,0.57,400,11.2,4.7,3.7,0.32
0760380201,XT 151128,0.48,160,5.1,0.00001,1.9,0.09
0765041301,XT 160220,0.3,160,8.4,1.1,2.9,0.45
0770380401,XT 151219,0.62,24,2.5,0.00001,3.5,0.37
0781890401,XT 161028,0.29,8,1.9,0.1,2.8,0.41
